Gene	Degree	Exp	Low	High	Sum	Avg
AT3G12145	1	15.3002	0.0488747	0.0488747	0.0488747	0.0488747
AT5G24780	1	39.2448	0.0488747	0.0488747	0.0488747	0.0488747
AT2G04800	1	0.644084	0.0516876	0.0516876	0.0516876	0.0516876
AT5G03300	1	88.3341	0.060886	0.060886	0.060886	0.060886
AT1G59980	1	1.79615	0.0929939	0.0929939	0.0929939	0.0929939
AT2G30740	1	8.52786	0.0998629	0.0998629	0.0998629	0.0998629
AT1G06700	1	28.9204	0.0998629	0.0998629	0.0998629	0.0998629
AT5G25570	1	3.12249	0.111101	0.111101	0.111101	0.111101
AT1G23490	1	244.086	0.129711	0.129711	0.129711	0.129711
AT3G13170	1	0.220434	0.143774	0.143774	0.143774	0.143774
AT3G48210	1	6.04363	0.15381	0.15381	0.15381	0.15381
AT5G20990	1	15.7962	0.160249	0.160249	0.160249	0.160249
AT1G72360	1	1.30758	0.163081	0.163081	0.163081	0.163081
AT3G18680	1	71.1677	0.163081	0.163081	0.163081	0.163081
AT2G41120	1	13.0156	0.164112	0.164112	0.164112	0.164112
AT5G25810	1	0.240076	0.175468	0.175468	0.175468	0.175468
AT5G40660	1	8.83379	0.202698	0.202698	0.202698	0.202698
AT5G22780	1	11.502	0.205276	0.205276	0.205276	0.205276
AT1G04870	1	14.8559	0.22788	0.22788	0.22788	0.22788
AT1G51170	1	2.68982	0.311605	0.311605	0.311605	0.311605
AT2G39660	1	4.01033	0.311605	0.311605	0.311605	0.311605
AT4G21470	1	8.90072	0.311605	0.311605	0.311605	0.311605
AT3G17240	1	34.0702	0.311605	0.311605	0.311605	0.311605
AT1G63270	1	4.17448	0.313874	0.313874	0.313874	0.313874
AT5G49990	1	2.88467	0.366556	0.366556	0.366556	0.366556
AT5G13530	1	5.54091	0.385144	0.385144	0.385144	0.385144
AT1G62960	1	16.9954	0.385144	0.385144	0.385144	0.385144
AT3G13350	1	7.02003	0.405648	0.405648	0.405648	0.405648
AT2G47260	1	0.969148	0.471964	0.471964	0.471964	0.471964
AT4G36160	1	0.411855	0.471976	0.471976	0.471976	0.471976
AT1G62700	1	0.530006	0.471976	0.471976	0.471976	0.471976
AT2G18060	1	0.800074	0.471976	0.471976	0.471976	0.471976
AT5G66300	1	1.1344	0.471976	0.471976	0.471976	0.471976
AT1G12260	1	1.16718	0.471976	0.471976	0.471976	0.471976
AT4G11370	1	1.41121	0.543369	0.543369	0.543369	0.543369
AT2G01150	1	4.66199	0.543369	0.543369	0.543369	0.543369
AT1G07160	1	0.0516876	0.644084	0.644084	0.644084	0.644084
AT4G15802	1	80.7446	0.64715	0.64715	0.64715	0.64715
AT2G29400	1	20.4535	0.67135	0.67135	0.67135	0.67135
AT2G35720	1	5.49221	0.681293	0.681293	0.681293	0.681293
AT1G26945	1	21.2835	0.681293	0.681293	0.681293	0.681293
AT2G21230	1	9.15467	0.700647	0.700647	0.700647	0.700647
AT4G33945	1	10.2831	0.704605	0.704605	0.704605	0.704605
AT2G47060	1	7.69927	0.744004	0.744004	0.744004	0.744004
AT5G03840	1	0.281124	0.797581	0.797581	0.797581	0.797581
AT2G35600	1	0.550309	0.852676	0.852676	0.852676	0.852676
AT1G54180	1	1.63852	0.852676	0.852676	0.852676	0.852676
AT5G20540	1	3.07678	0.852676	0.852676	0.852676	0.852676
AT1G76950	1	3.48089	0.852676	0.852676	0.852676	0.852676
AT3G14000	1	3.95343	0.852676	0.852676	0.852676	0.852676
AT4G21720	1	4.40861	0.852676	0.852676	0.852676	0.852676
AT5G10160	1	38.8723	0.852676	0.852676	0.852676	0.852676
AT4G10160	1	0.905225	0.872886	0.872886	0.872886	0.872886
AT3G47980	1	1.01942	0.872886	0.872886	0.872886	0.872886
AT2G39510	1	1.08039	0.872886	0.872886	0.872886	0.872886
AT4G01750	1	2.60246	0.872886	0.872886	0.872886	0.872886
AT5G18290	1	3.89901	0.872886	0.872886	0.872886	0.872886
AT2G03220	1	4.54651	0.872886	0.872886	0.872886	0.872886
AT5G15260	1	4.62258	0.872886	0.872886	0.872886	0.872886
AT3G28670	1	7.31338	0.872886	0.872886	0.872886	0.872886
AT3G05100	1	11.128	0.872886	0.872886	0.872886	0.872886
AT1G17280	1	11.3819	0.872886	0.872886	0.872886	0.872886
AT2G02040	1	15.0745	0.872886	0.872886	0.872886	0.872886
AT5G64290	1	92.7065	0.872886	0.872886	0.872886	0.872886
AT1G17650	1	49.1372	0.918485	0.918485	0.918485	0.918485
AT5G44040	1	6.11951	0.92218	0.92218	0.92218	0.92218
AT1G11440	1	8.62934	0.92218	0.92218	0.92218	0.92218
AT4G24972	1	17.2783	0.959211	0.959211	0.959211	0.959211
AT4G14040	1	92.7838	0.990393	0.990393	0.990393	0.990393
AT3G56980	1	0.713908	1.06988	1.06988	1.06988	1.06988
AT3G56970	1	1.65559	1.06988	1.06988	1.06988	1.06988
